Product Name,Product Image,Product URL,Product Description
Come Together 3-Seater Sofa,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/come2.png?v=1698905110,https://proof.com.sg/products/come-together-large-three-seater-sofa,"Ludovica and Roberto Palomba have designed an ultra-modern sofa system based on a deliberately limited number of elements designed to offer infinite combinations. The result is an enveloping and perfectly equipped microcosm of exquisite details, a veritable oasis of social living that moulds seamlessly to our living and social needs."
Get Back Curved Sectional Sofa,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/getback6.png?v=1698904722,https://proof.com.sg/products/get-back-curved-sectional-sofa,"Get Back is inspired by the refrain, “Get back, get back, get back to where you once belonged”. A playfully schematic text for a project that represents a return to comfort, to a welcoming tailor-made space where you can really feel at home. Generous, spacious and open lines, reclined backrests that encourage relaxation, numerous modular elements to combine freely in lots of diff erent compositions."
Let It Be 2-Seater Large Sofa,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/letitbe-21.png?v=1698904008,https://proof.com.sg/products/two-seater-large-sofa,"A modular system open to the most comfortable of configurations, Let it Be is an invitation to relax. It is a welcoming refuge where you can finally leave your worries behind you and rediscover your own time and rhythms. An authentic island of wellbeing equipped with everything you need."
Let It Be 3-Seater Sofa,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/LetItBe31.png?v=1699407635,https://proof.com.sg/products/low-arm-three-seater-sofa,"A modular system open to the most comfortable of configurations, Let it Be is an invitation to relax. It is a welcoming refuge where you can finally leave your worries behind you and rediscover your own time and rhythms. An authentic island of wellbeing equipped with everything you need."
Grantorino Sectional Sofa,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/Grantorino3.png?v=1698902244,https://proof.com.sg/products/grantorino-sectional-sofa,"A modular sofa with an exquisite, original version that combines Saddle Extra Leather with Pelle Frau® leather or fabric. Comfortable seats, compact, wellcut shapes that reduce the overall dimensions to a minimum."
Martha Armchair,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/martha2_61a11402-9810-4c6f-9d98-df6c119eba6f.png?v=1706173651,https://proof.com.sg/products/martha-armchair,"The Martha armchair by Roberto Lazzeroni achieves the difficult task of combining comfort and lightness. Soft forms and contrasting materials for an airy, relaxed, modern elegance."
Jay Lounge Reclining Armchair with Ottoman,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/JayLounge1.png?v=1698896458,https://proof.com.sg/products/reclining-armchair-ottoman,"The Jay Lounge armchair is a privileged realm to dedicate purely to ourselves. Reserved for highly personal moments of meditation, relaxation, and reading. A new take on the archetypal bergère that instantly becomes a contemporary icon. The geometries are organic yet taut and sculpted. Jean-Marie Massaud proceeds by subtraction, lightening the volumes, and instilling movement into the composition."
Fidelio Chest of Drawers,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/FidelioChest2.png?v=1698896192,https://proof.com.sg/products/fidelio-chest-drawers,"Chest of drawers, dresser, and bedside table for the bedroom. Deliberately lean design, precious materials. Functional details become highly characteristic aesthetic elements, such as the recessed handles that provide interesting graphics on the surfaces. Intense contrast also between the dark, warm hues of saddle leather and the wood covering the outside and the bright explosion of the very pale natural maple used inside of the drawers."
Fidelio Night Table,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/FidelioNight1.png?v=1698896415,https://proof.com.sg/products/fidelio-night-table,"Chest of drawers, dresser and bedside table for the bedroom. Deliberately lean design, precious materials. Functional details become highly characteristic aesthetic elements, such as the recessed handles that provide interesting graphics on the surfaces. Intense contrast also between the dark, warm hues of saddle-leather and the wood covering the outside and the bright explosion of the very pale natural maple used inside of the drawers."
XI Table Lamp,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/XIlamp2.png?v=1698895773,https://proof.com.sg/products/xi-table-lamp,"In Chinese Xi means ""light of dawn"", but also ""in praise of wisdom"". And when the lamps designed by Neri & Hu are illuminated, their soft, full light evokes the early morning sunlight. The project aims to convey a culture of light based on the awareness that the start of any day is like the beginning of life, infused with positivity and a sense of rebirth."
Soffi Composition Chandelier,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/soffi4.jpg?v=1710907003,https://proof.com.sg/products/suspension-small-lamp,Soffi. The purity of light and glass blew by Venice's master craftsmen. The minimalistic design of GamFratesi captures the exact moment when the blowing technique gives the glass its shape. Delicate and irregular globes seem to float out of a slender leather arm suspended in the air by the force of gravity. The project is inspired by an ancient art translated into a simple yet contemporary language.
Bob Side Table,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/bobside1.png?v=1698894796,https://proof.com.sg/products/bob-side-table-43-cm,"Attractive and functional, the Bob side table completes every room with elegant simplicity. Designer Jean-Marie Massaud proposes refined combinations of wood, leather, marble and steel for a free and self-confident formal result inspired by a Kennedy-style international way of life."
Elisir Cleaning Kit,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/ElisirCleaningKit2.png?v=1698894661,https://proof.com.sg/products/elisir-kit,"A cleaning system perfected for true leather enthusiasts. Pure materials, sought-after designs, unique accessories to take good care of your product. Classic tools to keep your Pelle Frau® upholstery soft and perfectly conditioned."
Bolero Dining Table,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/BoleroDining3.png?v=1698894538,https://proof.com.sg/products/bolero-dining-table-poltrona,"Round or rectangular, the Bolero table has a sleek and elegant design that enhances the material beauty of its elements. The solid wood of the structure meets a table top with large wood tiles that create horizontal and vertical veins that are different every time.

Designed by Roberto Lazzeroni, Bolero is both a discreet yet noticeable addition to any room, adding a touch of sophisticated elegance."
Nabucco Table,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/nabucco3.png?v=1698893945,https://proof.com.sg/products/nabucco-table,"The traditional dining table becomes an elegant stylised sculpture. Artisan Cabinets work merges with cutting-edge milling technologies. Advanced, complex woodworking processes have allowed the production of the table maintaining its unique aesthetic. The solid wood legs look tapered and light. The entire perimeter of the top is meticulously rounded and seems almost floating, and it is joined to the base in a sinuous way."
Let It Be Modular Sofa,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/LetItBe7.png?v=1698893737,https://proof.com.sg/products/modular-sofa,"A modular system open to the most comfortable of configurations, Let it Be is an invitation to relax. It is a welcoming refuge where you can finally leave your worries behind you and rediscover your own time and rhythms. An authentic island of wellbeing equipped with everything you need."
John-John 2-Seater Large Sofa,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/Johnjohn21.png?v=1706235927,https://proof.com.sg/products/john-john-large-2-seater-sofa,"The John-John sofa, designed by Jean-Marie Massaud, is a perfect example of modern, relaxed elegance. Its slender and elongated lines, accentuated by its light feet, exude relaxation and informality while the large and welcoming seat makes it the ideal place from which to enjoy the domestic environment."
Times Lounge Armchair,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/TIMESLOUNGE2.png?v=1698893158,https://proof.com.sg/products/times-lounge-chair,It is called Times just like the famous font and has the incisiveness and straightforward style of a typographical project. This bed embodies Poltrona Frau’s new vision. An elegant lightness where nothing is superfluous and everything natural. And where every element seems to promote rest and relaxation. Designers Spalvieri & Del Ciotto took their inspiration from the design principles of the Times bed to create a timeless seat that combines an advanced construction technique with understated and mellow contemporary aesthetics.
Fidelio Coffee Table,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/fideliocoffee1.png?v=1698887582,https://proof.com.sg/products/fidelio-coffee-table-poltrona,"Chest of drawers, dresser, and bedside table for the bedroom. Deliberately lean design, precious materials. Functional details become highly characteristic aesthetic elements, such as the recessed handles that provide interesting graphics on the surfaces. Intense contrast also between the dark, warm hues of saddle leather and the wood covering the outside and the bright explosion of the very pale natural maple used inside of the drawers."
Montera Chair,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/monterac1.png?v=1706174829,https://proof.com.sg/products/montera-chair,"Light stitching that traces out a smile. Montera’s common denominator is the lightness of form and, above all, the sensory charm of leather and hide. This two diff erent materials enhance each other when sewed together with cleancut edges."
Jay Lounge Ottoman,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/FRA10PL5605511.jpg?v=1697785315,https://proof.com.sg/products/jay-lounge-ottoman,"The Jay Lounge armchair is a privileged realm to dedicate purely to ourselves. Reserved for highly personal moments of meditation, relaxation and reading. A new take on the archetypal bergère that instantly becomes a contemporary icon. The geometries are organic yet taut and sculpted. Jean-Marie Massaud
proceeds by subtraction, lightening the volumes and instilling movement into the composition."
Martha Rocking Armchair,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/MarthaRocking5.png?v=1698891796,https://proof.com.sg/products/martha-rocking-armchair,"A shell, almost a capsule, that houses and protects without closing itself off. The Martha armchair by Roberto Lazzeroni achieves the difficult task of combining comfort and lightness. Soft forms and contrasting materials for an airy, relaxed, modern elegance."
Lepli Ottoman,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/ottoman2.png?v=1698891588,https://proof.com.sg/products/lepli-ottoman,"The Japanese designer, Kensaku Oshiro, has designed four pieces with great versatility yet with a strong identity. For this collection,the designer has drawn inspiration from traditional Poltrona Frau production processes and decorations, combining them with tailoring ideas from the fashion world. Classic stitching and soft folds enhance the sinuous minimalism of the design. The combination of textiles and leather create an elegant eff ect."
Fred Home Desk,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/freddesk11.png?v=1706091955,https://proof.com.sg/products/fred-home-desk,"The Fred desk is a meeting of light, almost ethereal geometries. Roberto Lazzeroni creates a piece of furniture in which the visual pleasure of a continuous saddle-leather surface is underlined by delicate hand-produced incisions and cold markings that create refined graphic decorations.
A special procedure makes it possible to curve the front of the saddle-leather without any need for internal supports. The ideal companion of the Fred desk is the Ginger chair, designed to make the study even more complete and harmonious."
Fidelio Console,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/fideliocansole7.png?v=1698890877,https://proof.com.sg/products/fidelio-consoles,"A versatile collection of storage units designed by Roberto Lazzeroni for all domestic spaces. The new Consoles table catches the eye for the contrast between its remarkable visual lightness and the richness of the material combinations, a balance that makes it ideal for furnishing the contemporary living room."
Ren High Bookcase,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/renbookcase3.png?v=1698890720,https://proof.com.sg/products/ren-bookcase,"The new bookcase REN expands the collection. The underlying theme is still the “ren” symbol, which shapes the sides of the various accessories. The new accessories also communicate a sensation of intimate elegance. Small, light architectures are made up of ingenious suspensions, clever balances, and simple joints inspired by an oriental concept of spaces and design. They are produced using fine materials and artisan techniques inextricably linked with the Poltrona Frau tradition."
Fidelio Floor Lamp,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/FidelioFloor1.png?v=1698890512,https://proof.com.sg/products/fidelio-floor-lamp,A floor lamp which completes the Fidelio Collection. Deliberately lean design and precious materials. Formal minimalism and sophisticated finishes for an across-the-board collection to use in any space.
Massimosistema 3-Seater Sofa,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/Massimosistema3.png?v=1706236197,https://proof.com.sg/products/massimosistema-sofa,"The modern evolution of the sofa. Massimosistema just needs space and imagination. Elegance, versatility and comfort do the rest. Seats with and without armrests, chaise-longues, chaise elements and footrests, the Massimosistema has been designed to off er various diff erent combinations."
Jobs Bookcase,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/jobs2.png?v=1698889499,https://proof.com.sg/products/jobs-bookcase,"The Jobs Bookcase collection is the result of Rodolfo Dordoni’s close study of the evolution of behaviour in relation to new technologies and the careful selection of materials: leather, shiny and matt woods and structures in brushed steel enrich the different volumes in a simple, understated way to create new work areas."
Fidelio Cabinet,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/pideliocabinet1.png?v=1698834634,https://proof.com.sg/products/fidelio-cabinets-in-saddle-extra-talpa,"When designing the Fidelio series, Roberto Lazzeroni opted for a deliberately clean design combined with precious materials: formal simplicity and sophisticated finishes for a versatile collection that is easy to combine with all other Poltrona Frau furnishings. With formal minimalism and sophisticated finishes for an across-the-board collection, it is made deliberately with lean design and precious materials."
Viola Armchair,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/Viola1.jpg?v=1710929461,https://proof.com.sg/products/poltrona-frau-viola-armchair-in-nest-leather,"AB Concept has revisited a classic design, giving it a decidedly contemporary touch. The result is a product with great formal lightness and a solid and void effect which enhances the dining table chair both when it is used alone and when it is combined with a table. The viola chiar embodies all of the know-how of the famous international brand and stands out for its simple, elegant lines that sacrifice nothing in terms of comfort."
Archibald Large Armchair,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/archibaldlarge1.jpg?v=1711093162,https://proof.com.sg/products/poltrona-frau-archibald-large-in-saddle-leather-and-saddle,"After Archibald, already released in three unmissable editions, and Archibald Gran Comfort, comes Archibald Large, the new version of the iconic armchair designed by Jean-Marie Massaud. A perfect combination of substance and form, Archibald is now more welcoming than ever with an even more comfortable and enveloping design ideal for meditation and relaxation."
Mito Sospeso 40,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/Productimages_Occhio-15.jpg?v=1698046198,https://proof.com.sg/products/mito-sospeso,"Mito sospeso, annular suspended LED luminaire with a diameter of 40 cm or 60 cm, suspension length max. 350 cm (fixed) / 50-200 cm (variable), colour temperature continuously controllable via »touchless control« and Occhio air (optional), dimmable, mounting versions for all spatial situations."
Downtown Meeting Chair,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/meeting1.png?v=1698834317,https://proof.com.sg/products/downtown-meeting-chair,"Competent, elegant, timeless… the DownTown chair is for demanding decision-makers looking for comfort and sophistication. A sleek technical seat handcrafted by the Poltrona Frau craftsmen, a guarantee of its quality. Much more than a stunning sculpture, the DownTown chair is a sensual and distinctive Jean-Marie Massaud creation."
Downtown Visitor Chair,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/visitor1.png?v=1698832489,https://proof.com.sg/products/downtown-visitor-chair,"Competent, elegant, timeless… the DownTown chair is for demanding decision-makers looking for comfort and sophistication. A sleek technical seat handcrafted by the Poltrona Frau craftsmen, a guarantee of its quality. Much more than a stunning sculpture, the DownTown chair is a sensual and distinctive Jean-Marie Massaud creation."
Ilary Coffee Table,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/IlarySide1.png?v=1710994047,https://proof.com.sg/products/ilary-side-table-1,"With the Ilary side tables, Jean-Marie Massaud designs three collections in one. In fact, Ilary is a system of 5 side tables of different heights, shapes and constructions. A mix of finishes and materials to create effects and combinations that are different each time, yet consistent."
Fidelio Elliptical Side Table,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/felidioside2.png?v=1698887530,https://proof.com.sg/products/fidelio-small-table,"The structure of the Fidelio side tables is made from triangular profile solid ash wood in a moka or wenge stain. The top surface of the table top, in the rectangular and round variants, is upholstered in Cuoio Saddle Extra leather while the underneath is in Pelle Frau® leather. Edge stitching, tone on tone or contrast as desired, embellishes the surface of the saddle-leather top. 
Alternatively, the tops can come in Emperador marble with a glossy finish or Calacatta gold marble with a glossy or semi-glossy finish. Fidelio’s metal details are in brushed steel with galvanic treatment and a natural brass finish."
Ren Round Mirror,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/roundmirror1.png?v=1698830748,https://proof.com.sg/products/ren-round-mirror,"Designed to complete the home with a touch of discreet and comfortable style, the Ren mirrors are available in the Round mirror (Ø 430 mm) or Oval mirror (280 x 1200 mm) versions, also separately, and in the table version (Ø 310 mm). 
They have a brass frame covered with Saddle Extra leather while the back is in birch plywood with a Canaletto walnut veneer. The table mirror consists of a round mirror fixed to a supporting structure with a brushed steel hook with brass finish. The free-standing mirror clothes rack consists of an oval mirror, a low shelf and two hooks for hanging clothes. 
The wall-hung mirror clothes rack is composed of a Canaletto walnut bar to which a round mirror, a circular key tray and two hooks for hanging clothes are attached (wall-mounting system not included). 
The dressing table consists of a round mirror, an oval key tray and a table top with a second in-built compartment with lift-up top in Saddle Extra leather and ring-shaped brass handle. The bottom of the compartment is covered with a saddle-leather insert."
Assaya Armchair,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/AssayaArmchair1.png?v=1698829972,https://proof.com.sg/products/assaya-armchair-with-ottoman,"In Marathi, Satyendra Pakhalé’s mother tongue, Assaya means “provide comfortable support” or “create a pleasant sentiment”, but also “analyse” or “assess”. The designer’s inspiration for this collection (armchair, pouf, side table and laptray) is our increasingly connected world where the boundary between the domestic space and the workplace is increasingly blurred."
Grant Ottoman,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/grantottoman1.png?v=1698829215,https://proof.com.sg/products/grant-ottoman,"Tristan Auer designs a collection of poufs for Poltrona Frau which stand out for their nomadic, versatile and flexible elegance: the Grant seats are equally at home in public and residential settings, on their own or in bespoke combinations."
Grant Ottoman with Armrest,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/ottomanarm2.png?v=1698829512,https://proof.com.sg/products/grant-ottoman-with-armrest,"Tristan Auer designs a collection of poufs for Poltrona Frau which stand out for their nomadic, versatile and flexible elegance: the Grant seats are equally at home in public and residential settings, on their own or in bespoke combinations."
Archibald Ottoman,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/ottomansc176.png?v=1701747423,https://proof.com.sg/products/archibald-armchair-with-ottoman,"The Archibald by Jean-Marie Massaud is the perfect combination of substance and form, the armchairs and poufs boasting a comfortable and enveloping design ideal for meditation and relaxation. The breadth and depth of the seat is balanced by its thin feet for an agile and slender overall effect.

In the Archibald armchair the leather upholstery, pleasantly wavy thanks to a series of vertical folds, is embellished along the edges and external surfaces by contrast stitching, giving it an extra touch of refined elegance.The backrest and seat structure is made from steel with moulded polyurethane foam padding and shaped foam with polyester wadding in the areas where more comfort is required. The spring system consists of elastic belts. The base comprises four cast aluminium feet and a tubular steel frame with gunmetal grey finish. The Archibald armchairs and pouf are upholstered in Pelle Frau® leather."
Billie Rug,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/billierug.png?v=1698824017,https://proof.com.sg/products/billie-rug,"The Billie rug is named after Billie Holiday, one of the most beautiful and soulful jazz voices of the early 20th century. A tribute to a genre of music much loved by the artist and a passion that influenced his work. As well as his famous works for Esselunga, La Rinascente, Coin, Rai and Montecatini, during his career Max Huber carried out lots of projects connected with this form of music, such as “Ritmo” magazine in 1950 and “Jazztime” in 1952, the cover of jazz encyclopaedia “Messaggerie Musicali” in 1952, and the poster for the “Jazz Chiasso weeks” festival of 1985."
Zhuang Desk Accessories,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/zhuangdesk2.png?v=1698823252,https://proof.com.sg/products/the-objects-zhuang-desk,"In Chinese ‘zhuang’ means to protect something precious. The collection of Zhuang containers designed by Neri & Hu for Poltrona Frau consists of a series of stackable treasure chests with a minimalist and ultra contemporary design.

The Zhuang containers can be used freely in the various areas of the home or office to store both valuable objects or everyday items."
Zhuang Stackable Case,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/zhuangstacker1.png?v=1698823590,https://proof.com.sg/products/the-objects-zhuang,"In Chinese ‘zhuang’ means to protect something precious. The collection of Zhuang containers designed by Neri & Hu for Poltrona Frau consists of a series of stackable treasure chests with a minimalist and ultra contemporary design.

The Zhuang containers can be used freely in the various areas of the home or office to store both valuable objects or everyday items."
Mito Sospeso 60,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/OCH20PL00027.png?v=1698046141,https://proof.com.sg/products/mito-sospeso-60,"Mito sospeso, annular suspended LED luminaire with a diameter of 40 cm or 60 cm, suspension length max. 350 cm (fixed) / 50-200 cm (variable), colour temperature continuously controllable via »touchless control« and Occhio air (optional), dimmable, mounting versions for all spatial situations."
Sento Terra Floor Lamp,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/Productimages_Occhio-29.jpg?v=1698034141,https://proof.com.sg/products/sento-terra,"A lighting tool for your interiors – Sento terra was created for you to experiment with. It creates fascinating contrasts that set off the room. The light and shadow interplay continually brings out new aspects of your living space.



Selectable lighting effects, single- or double-sided light output, swivelling and with independently rotatable heads. Replaceable optical components mean that you can redefine the light again and again – now and at any time. Flexible room lighting, even for smaller living spaces."
Sento Lettura Floor Lamp,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/Untitleddesign.png?v=1698039633,https://proof.com.sg/products/sento-lettura,"Sento lettura is the luminaire that allows you to focus fully on your literature. It produces light in its purest form – glare-free and with perfectly shaped optics. The swivelling luminaire arm is available in two lengths, so you can adjust your light perfectly to your needs – for maximum reading pleasure."
Sento Tavolo Table Lamp,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/OCH20PL00023.jpg?v=1698038922,https://proof.com.sg/products/sento-tavolo,"The quality of light and design combined in this luminaire simply could not be any higher. Control the uplight and the downlight separately and touchlessly, either by gesture using »touchless control« or via Occhio air. The lens optics provide directed, glare-free light. The luminaire foot rotates and the luminaire arm swivels so that you can adjust the lighting precisely to your needs."
Grandeur,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/DianeJames-12.jpg?v=1694364525,https://proof.com.sg/products/phalaenopsis-orchid-5-stems-in-mossed-planter,"Phalaenopsis orchid, 5 stems, in mossed planter
Stately and elegant... what more can we say about this gorgeous five-stem phalaenopsis planted in a naturally mossed planter. This amazing work of art is a proven winner. Let it grace an entryway or Consoles for stunning beauty you'll enjoy for years (and no one will ever know it's faux).- Overall Dimensions: 30"" wide x 31"" tall- Composed of: phalaenopsis orchids; terra cotta planter"
Windflower,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/DianeJames-07.jpg?v=1694365320,https://proof.com.sg/products/white-anemones-in-ribbed-glass-vase,"White Anemones in ribbed glass vase
Also know as windlfowers, anemones flutter their petals in the breeze, giving a serene vibe to garden spaces. We've arranged faux windflowers in a pleated glass vase so that you, too, can enjoy the calm and lovely nature of these blooms for many years to come.- Overall Dimensions: 9"" diameter x 10"" tall- Composed of: anemones; pleated glass vase"
Go Figure,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/DianeJames-04.jpg?v=1694364469,https://proof.com.sg/products/fig-and-eucalyptus-in-potters-vase,"Fig and Eucalyptus in potter's vase
Eclectic and whimsical, this bouquet of faux fig branches and eucalyptus arranged in a hand-thrown ceramic vase has a fresh, organic style. We love how the figs look so realistic you're tempted to eat them.- Overall Dimensions: 11"" long x 8"" wide x 14"" tall- Composed of: fig and eucalyptus; ceramic vase"
Miss MoneyPenny,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/DianeJames-10.jpg?v=1694364815,https://proof.com.sg/products/money-plant-in-grey-pot,"Money Plant in grey pot
The Chinese money plant is known for it's coined-shaped leaves and some say it brings good fortune. Frequently featured in clean and contemporary interiors, this faux pilea peperomioides is planted in an sculptural cement planter which beautifully highlights its dark green leaves.- Overall Dimensions: 12"" diameter x 16"" tall- Composed of: money plant; cement planter"
Spring Snow,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/DianeJames-01.jpg?v=1694365161,https://proof.com.sg/products/light-pink-apple-blossoms-in-white-vase,"Light Pink Apple Blossoms in White vase
Apple blossoms at their peak drift down from their branches in a spring breeze creating the illusion of snow. We've captured this ethereal moment in a simple, yet elegant design that pairs blush-tinged faux apple blossoms with a snow white crackled ceramic vase. And the good news - these blossom won't fall!- Overall Dimensions: 12"" diameter x 35"" tall- Composed of: apple blossoms; ceramic vase"
Frond of You,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/DianeJames-14.jpg?v=1694364408,https://proof.com.sg/products/large-palm-fronds-in-tapered-glass-vase,"Large Palm Fronds in Tapered glass vase
Faux palm fronds are an easy way to bring a tropical touch to your decor. Use this elegant and sculptural design on a Consoles or large table to brighten up any space for years to come.- Overall Dimensions: 36"" diameter x 31"" tall- Composed of: palm fronds; glass vase"
